"location","description","secs","category","CDNumber","CDName","tracknum"
"07067015.wav","Emptying metal basin.","9","Household: Basins","ECD149","Household 1","15"
"07067014.wav","Filling metal basin.","19","Household: Basins","ECD149","Household 1","14"
"07067013.wav","Pouring basin into sink.","8","Household: Basins","ECD149","Household 1","13"
"07067012.wav","Filling large basin.","26","Household: Basins","ECD149","Household 1","12"
"07067011.wav","Emptying sink.","15","Household: Sinks","ECD149","Household 1","11"
"07067010.wav","Filling enamel sink (stopper in).","52","Household: Sinks","ECD149","Household 1","10"
"07067009.wav","Filling enamel sink (no stopper).","47","Household: Sinks","ECD149","Household 1","9"
"07067008.wav","Emptying tin sink.","16","Household: Sinks","ECD149","Household 1","8"
"07067007.wav","Filling tin sink.","43","Household: Sinks","ECD149","Household 1","7"
"07067006.wav","Emptying stone sink.","12","Household: Sinks","ECD149","Household 1","6"
"07067005.wav","Filling stone sink.","51","Household: Sinks","ECD149","Household 1","5"
"07067004.wav","Emptying metal sink.","15","Household: Sinks","ECD149","Household 1","4"
"07067003.wav","Filling metal sink.","33","Household: Sinks","ECD149","Household 1","3"
"07067002.wav","Water running into sink (plug out - tap half on).","145","Household: Sinks","ECD149","Household 1","2"
"07067001.wav","Washing up crockery & cutlery.","113","Washing Up","ECD149","Household 1","1"
"07066181.wav","Muffled bells - starting and pealing at St, Mary the Virgin Godmanchester.","150","Churches: Bells: Godmanchester","ECD151","Church Bells","22"
"07066180.wav","Half-muffled - starting, pealing, stopping at St Mary the Virgin Godmanchester.","205","Churches: Bells: Godmanchester","ECD151","Church Bells","21"
"07066179.wav","12 bells ringing, Worcester Cathedral.","175","Bells: Cathedrals: Worcester","ECD151","Church Bells","20"
"07066178.wav","10 bells ringing, Lichfield Cathedral.","173","Bells: Cathedrals: Lichfield","ECD151","Church Bells","19"
"07066177.wav","10 bells ringing, Parish of St. George, Greenock.","170","Churches: Bells: Greenock","ECD151","Church Bells","18"
"07066176.wav","Iona Abbey's tenor bell ringing.","175","Bells: Abbeys","ECD151","Church Bells","17"
"07066175.wav","St. Cuthbert's Edinburgh, bells ringing.","153","Bells: Churches","ECD151","Church Bells","16"
"07066174.wav","Cambridge Maximus.","158","Churches: Bells: Edinburgh","ECD151","Church Bells","15"
"07066173.wav","St. Philip's Cathedral, Birmingham - ringing.","173","Bells: Cathedrals: Birmingham","ECD151","Church Bells","14"
"07066172.wav","Ringing down in peal - ringing ends (Evercreech, Somerset).","131","Churches: Bells: Evercreech","ECD151","Church Bells","13"
"07066171.wav","Stedman triples rung - ringing , starts & ends (Evercreech, Somerset)","199","Churches: Bells: Evercreech","ECD151","Church Bells","12"
"07066170.wav","Grandsire caters rung - ringing ends (Evercreech, Somerset).","168","Churches: Bells: Evercreech","ECD151","Church Bells","11"
"07066169.wav","Grandsire triples run - ringing ends (Evercreech, Somerset).","169","Churches: Bells: Evercreech","ECD151","Church Bells","10"
"07066168.wav","Parish Church of St. Bartholomew, Lostwithiel - 6 bells.","240","Churches: Bells: Lostwithiel","ECD151","Church Bells","9"
"07066167.wav","Parish Church of St. Nicholas, Sevenoaks - 8 bells.","157","Churches: Bells: Sevenoaks","ECD151","Church Bells","8"
"07066166.wav","Winchester Cathedral.","171","Bells: Cathedrals: Winchester","ECD151","Church Bells","7"
"07066165.wav","Single bell tolling - with sound mechanism, English village church.","204","Churches: Bells","ECD151","Church Bells","6"
"07066164.wav","Single bell ringing, English village church.","197","Churches: Bells","ECD151","Church Bells","5"
"07066163.wav","Peal of 6 bells, English village church.","403","Churches: Bells","ECD151","Church Bells","4"
"07066162.wav","Ringing up into rounds, English village church bells.","182","Churches: Bells","ECD151","Church Bells","3"
"07066161.wav","Rounds - firing, ends with rounds, English village church.","156","Churches: Bells","ECD151","Church Bells","2"
"07066160.wav","6 bells poorly rung in English village church.","240","Churches: Bells: Rung Poorly","ECD151","Church Bells","1"
"07066159.wav","Taxiing in, engines run down - exterior (prop-jet airliner).","149","Aircraft: Bristol Britannia","ECD157","Aircraft 3","48"
"07066158.wav","Landing - exterior (prop-jet airliner).","29","Aircraft: Bristol Britannia","ECD157","Aircraft 3","47"
"07066157.wav","Running up engines at start up - exterior (prop-jet airliner).","131","Aircraft: Bristol Britannia","ECD157","Aircraft 3","46"
"07066156.wav","Passing overhead - exterior (prop-jet airliner).","13","Aircraft: Bristol Britannia","ECD157","Aircraft 3","45"
"07066155.wav","Take off - exterior (prop-jet airliner).","38","Aircraft: Bristol Britannia","ECD157","Aircraft 3","44"
"07066154.wav","Taxiing to take off - exterior (prop-jet airliner).","119","Aircraft: Bristol Britannia","ECD157","Aircraft 3","43"
"07066153.wav","Taxi away - exterior (prop-jet airliner).","80","Aircraft: Bristol Britannia","ECD157","Aircraft 3","42"
"07066152.wav","Engines running, foreground - exterior (prop-jet airliner).","140","Aircraft: Bristol Britannia","ECD157","Aircraft 3","41"
"07066151.wav","Taxi to stop and switch off - interior (prop-jet airliner).","69","Aircraft: Bristol Britannia","ECD157","Aircraft 3","40"
"07066150.wav","Touchdown & taxi - interior (prop-jet airliner).","103","Aircraft: Bristol Britannia","ECD157","Aircraft 3","39"
"07066149.wav","Descent - interior (prop-jet airliner).","137","Aircraft: Bristol Britannia","ECD157","Aircraft 3","38"
"07066148.wav","Constant flight - interior (prop-jet airliner).","298","Aircraft: Bristol Britannia","ECD157","Aircraft 3","37"
"07066147.wav","Take off into constant flight - interior (prop-jet airliner).","71","Aircraft: Bristol Britannia","ECD157","Aircraft 3","36"
"07066146.wav","Start, run up engines, taxi - interior (prop-jet airliner).","211","Aircraft: Bristol Britannia","ECD157","Aircraft 3","35"
"07066145.wav","Taxiing - exterior (single engine jet fighter).","119","Aircraft: Starfighter","ECD157","Aircraft 3","34"
"07066144.wav","Airfield atmosphere - exterior (single engine jet fighter).","62","Aircraft: Starfighter","ECD157","Aircraft 3","33"
"07066143.wav","Two passing overhead - exterior (single engine jet fighter).","18","Aircraft: Starfighter","ECD157","Aircraft 3","32"
"07066142.wav","Passing overhead - exterior (single engine jet fighter).","21","Aircraft: Starfighter","ECD157","Aircraft 3","31"
"07066141.wav","Landing - exterior (single engine jet fighter).","30","Aircraft: Starfighter","ECD157","Aircraft 3","30"
"07066140.wav","Take off - exterior (single engine jet fighter).","40","Aircraft: Starfighter","ECD157","Aircraft 3","29"
"07066139.wav","Aerobatics two aircraft (WWII aircraft, one piston Griffon engines).","67","Aircraft: British Naval Seafire","ECD157","Aircraft 3","28"
"07066138.wav","Aerobatics single aircraft (WWII aircraft, one piston Griffon engine).","136","Aircraft: British Naval Seafire","ECD157","Aircraft 3","27"
"07066137.wav","Taxi up & switch off (WWII aircraft, one piston Griffon engine).","54","Aircraft: British Naval Seafire","ECD157","Aircraft 3","26"
"07066136.wav","Landing (WWII aircraft, one piston Griffon engine).","26","Aircraft: British Naval Seafire","ECD157","Aircraft 3","25"
"07066135.wav","Passing overhead, cuts engine (WWII aircraft, one piston Griffon engine).","49","Aircraft: British Naval Seafire","ECD157","Aircraft 3","24"
"07066134.wav","Gathering speed to take off (WWII aircraft, one piston Griffon engine).","42","Aircraft: British Naval Seafire","ECD157","Aircraft 3","23"
"07066133.wav","Start, tickover, taxi away (WWII aircraft, one piston Griffon engine).","120","Aircraft: British Naval Seafire","ECD157","Aircraft 3","22"
"07066132.wav","False start (WWII aircraft, one piston Griffon engine).","4","Aircraft: British Naval Seafire","ECD157","Aircraft 3","21"
"07066131.wav","Passing low overhead - exterior (single piston, open cockpit aircraft)","20","Aircraft: Tiger Moth","ECD157","Aircraft 3","20"
"07066130.wav","Passing overhaed - exterior (single piston, open cockpit aircraft)","21","Aircraft: Tiger Moth","ECD157","Aircraft 3","19"
"07066129.wav","Taxi up, switch off - exterior (single piston open cockpit aircraft).","37","Aircraft: Tiger Moth","ECD157","Aircraft 3","18"
"07066128.wav","Taxi up, revving, switch off - exterior (single piston open cockpit aircraft).","30","Aircraft: Tiger Moth","ECD157","Aircraft 3","17"
"07066127.wav","Land, switch off - exterior (single piston, open cockpit aircraft).","34","Aircraft: Tiger Moth","ECD157","Aircraft 3","16"
"07066126.wav","Take off - exterior (single piston, open cockpit aircraft).","25","Aircraft: Tiger Moth","ECD157","Aircraft 3","15"
"07066125.wav","Constant flight - interior (single piston, open cockpit aircraft).","220","Aircraft: Tiger Moth","ECD157","Aircraft 3","14"
"07066124.wav","Revving, tickover, switch off - interior (single piston open cockpit aircraft).","101","Aircraft: Tiger Moth","ECD157","Aircraft 3","13"
"07066123.wav","Land, taxi in, switch off - interior (single piston, open cockpit aircraft).","55","Aircraft: Tiger Moth","ECD157","Aircraft 3","12"
"07066122.wav","Start up, take off - interior (single piston, open cockpit aircraft).","65","Aircraft: Tiger Moth","ECD157","Aircraft 3","11"
"07066121.wav","Start up, tickover, switch off - interior (single piston, open cockpit aircraft).","65","Aircraft: Tiger Moth","ECD157","Aircraft 3","10"
"07066120.wav","Passing over - exterior.","15","Aircraft: Piper","ECD157","Aircraft 3","9"
"07066119.wav","Landing - exterior.","35","Aircraft: Piper","ECD157","Aircraft 3","8"
"07066118.wav","Start up, taxi and take off - exterior.","66","Aircraft: Piper","ECD157","Aircraft 3","7"
"07066117.wav","Take off - exterior.","46","Aircraft: Piper","ECD157","Aircraft 3","6"
"07066116.wav","Start up, taxi past and away - exterior.","40","Aircraft: Piper","ECD157","Aircraft 3","5"
"07066115.wav","Descent, land, taxi, switch off - interior.","174","Aircraft: Piper","ECD157","Aircraft 3","4"
"07066114.wav","Constant flight - interior.","142","Aircraft: Piper","ECD157","Aircraft 3","3"
"07066113.wav","Take off, climb to level flight - interior.","222","Aircraft: Piper","ECD157","Aircraft 3","2"
"07066112.wav","Start-up, taxi, run up for checking purposes, switch off - interior.","166","Aircraft: Piper","ECD157","Aircraft 3","1"
"07066111.wav","Tenon saw.","55","Saws: Tenon","ECD165","Timber & Wood","26"
"07066110.wav","Sawing by hand, carpenters' workshop.","150","Saws: Hand","ECD165","Timber & Wood","25"
"07066109.wav","Band saw - switch on and off.","182","Saws: Band","ECD165","Timber & Wood","24"
"07066108.wav","General workshop atmosphere.","242","Workshops: Carpenters","ECD165","Timber & Wood","23"
"07066107.wav","Router - switch on and off.","78","Routers","ECD165","Timber & Wood","22"
"07066106.wav","Spindle mould cutter.","82","Workshops: Carpenters","ECD165","Timber & Wood","21"
"07066105.wav","Belt sander.","99","Sanding Machines","ECD165","Timber & Wood","20"
"07066104.wav","Rip saw, carpenters' workshop.","133","Saws: Rip","ECD165","Timber & Wood","19"
"07066103.wav","Crosscut saw.","89","Workshops: Carpenters","ECD165","Timber & Wood","18"
"07066102.wav","Thicknesser plane, carpenters' workshop.","120","Planes","ECD165","Timber & Wood","17"
"07066101.wav","Over end plane.","91","Planes","ECD165","Timber & Wood","16"
"07066100.wav","Band saw.","188","Saws: Band","ECD165","Timber & Wood","15"
"07066099.wav","Planing machine.","168","Planes","ECD165","Timber & Wood","14"
"07066098.wav","Overhead shafting for belt driven machinery - start, run, stop.","190","Factories: Woodworking","ECD165","Timber & Wood","13"
"07066097.wav","Routing machine.","203","Routers","ECD165","Timber & Wood","12"
"07066096.wav","Saw.","241","Saws: Circular","ECD165","Timber & Wood","11"
"07066095.wav","14 inch saw in timber yard.","214","Saws: Circular","ECD165","Timber & Wood","10"
"07066094.wav","Portable 5 inch cutting against grain.","91","Saws: Circular","ECD165","Timber & Wood","9"
"07066093.wav","Portable 5 inch cutting with the grain.","132","Saws: Circular","ECD165","Timber & Wood","8"
"07066092.wav","Morning work begins with lorries in background - band saw starts, general activity.","288","Saws: Band","ECD165","Timber & Wood","7"
"07066091.wav","Large circular saw cutting 12ft planks.","163","Saws: Circular","ECD165","Timber & Wood","6"
"07066090.wav","Hooter - yard shuts down and ends with sliding doors.","102","Timber Yards","ECD165","Timber & Wood","5"
"07066089.wav","Sawdust extractor - starts up, open-air timber yard.","71","Timber Yards","ECD165","Timber & Wood","4"
"07066088.wav","Planing machine - starts, works, slows down, switches off. Open-air timber yard.","191","Planes","ECD165","Timber & Wood","3"
"07066087.wav","Moulding machine - starts, works, slows down, switches off. Open-air timber yard.","192","Timber Yards","ECD165","Timber & Wood","2"
"07066086.wav","Large band saw - starts, cuts, slows down at 4'10"", switches off. Open-air timber yard.","398","Saws: Band","ECD165","Timber & Wood","1"
"07066085.wav","High speed drilling - heard from living quarters (Sea Quest offshore oil rig, Fortes oilfield May 1976).","78","Oil: Rigs","ECD146","Oil & Petrol","48"
"07066084.wav","Rotary table during drilling (Sea Quest offshore oil rig, Fortes oilfield May 1976).","69","Oil: Rigs","ECD146","Oil & Petrol","47"
"07066083.wav","Atmos. in mud pump room (Sea Quest offshore oil rig, Fortes oilfield May 1976).","42","Oil: Rigs","ECD146","Oil & Petrol","46"
"07066082.wav","The mud shaker (Sea Quest offshore oil rig, Fortes oilfield May 1976).","33","Oil: Rigs","ECD146","Oil & Petrol","45"
"07066081.wav","Casing pushed into hole - with squeak of brake pads (Sea Quest offshore oil rig, Fortes oilfield May 1976).","137","Oil: Rigs","ECD146","Oil & Petrol","44"
"07066080.wav","Crane - start, run, stop (Sea Quest offshore oil rig, Fortes oilfield May 1976).","101","Cranes","ECD146","Oil & Petrol","43"
"07066079.wav","Disconnecting & coupling new pipes - with occaisonal voices (Sea quest offshore oil rig, Fortes oilfield May 1976).","209","Oil: Rigs","ECD146","Oil & Petrol","42"
"07066078.wav","Dragging up lining pipes (Sea Quest oil rig, Fortes oilfield May 1976).","33","Oil: Rigs","ECD146","Oil & Petrol","41"
"07066077.wav","Pulling out the pipe - heard from control hut (Sea Quest oil rig, Fortes oilfield May 1976).","252","Oil: Rigs","ECD146","Oil & Petrol","40"
"07066076.wav","Atmosphere in main deck (Sea Quest offshore oil rig, Fortes oil field May 1976).","133","Oil: Rigs","ECD146","Oil & Petrol","39"
"07066075.wav","Pipes unload from lorry (Patagonia, Delta region 1970).","54","Oil: Exploration","ECD146","Oil & Petrol","38"
"07066074.wav","Large lorry backing slowly to rig (Patagonia, Delta region 1970).","135","Oil: Exploration","ECD146","Oil & Petrol","37"
"07066073.wav","Atmosphere on oil rig - drill operating (Patagonia, Delta region 1970).","115","Oil: Exploration","ECD146","Oil & Petrol","36"
"07066072.wav","Rumble of deisel engines - 25 yd from oil rig (Patagonia, Delta region 1970).","48","Oil: Exploration","ECD146","Oil & Petrol","35"
"07066071.wav","Lorry constant run on a bumpy road (Patagonia, Delta region 1970).","97","Lorries","ECD146","Oil & Petrol","34"
"07066070.wav","Lorry approach & pass (Patagonia, Delta region 1970).","13","Lorries","ECD146","Oil & Petrol","33"
"07066069.wav","Drilling lorry departs (Patagonia, Delta region 1970).","24","Oil: Exploration","ECD146","Oil & Petrol","32"
"07066068.wav","Shot blast (Patagonia, Delta region 1970).","7","Explosions","ECD146","Oil & Petrol","31"
"07066067.wav","Packing charges into drill holes (Patagonia, Delta region 1970).","22","Oil: Exploration","ECD146","Oil & Petrol","30"
"07066066.wav","Drilling lorries - changing bits, drilling starts at 1'02"" (Patagonia, Delta region 1970).","88","Oil: Exploration","ECD146","Oil & Petrol","29"
"07066065.wav","Drilling lorries (Patagonia, Delta region 1970).","34","Oil: Exploration","ECD146","Oil & Petrol","28"
"07066064.wav","4-wheel drive truck - constant run over rough icy ground (Alaska 1970).","110","Oil: Drilling","ECD146","Oil & Petrol","27"
"07066063.wav","Seismic camp - truck motors running (Alaska 1970).","97","Oil: Drilling","ECD146","Oil & Petrol","26"
"07066062.wav","2 Skidoos passing (Alaska 1970).","16","Oil: Drilling","ECD146","Oil & Petrol","25"
"07066061.wav","General atmos. - ""sky cranes"", helicopters, gulls, etc. (Alaska 1970).","113","Oil: Drilling","ECD146","Oil & Petrol","24"
"07066060.wav","Oil drilling rig - exterior (Alaska 1970).","90","Oil: Drilling","ECD146","Oil & Petrol","23"
"07066059.wav","Oil drilling rig - interior (Alaska 1970).","97","Oil: Drilling","ECD146","Oil & Petrol","22"
"07066058.wav","Outdoor alarm signal (Fawley 1961).","25","Oil: Refineries","ECD146","Oil & Petrol","21"
"07066057.wav","Alarm signal (Fawley 1961).","22","Oil: Refineries","ECD146","Oil & Petrol","20"
"07066056.wav","Air fin coolers (Fawley 1961).","265","Oil: Refineries","ECD146","Oil & Petrol","19"
"07066055.wav","Burning of waste gases (Fawley 1961).","174","Oil: Refineries","ECD146","Oil & Petrol","18"
"07066054.wav","High-pressure water pumps (Fawley 1961).","178","Oil: Refineries","ECD146","Oil & Petrol","17"
"07066053.wav","Heavy duty compressors (Fawley 1961).","163","Oil: Refineries","ECD146","Oil & Petrol","16"
"07066052.wav","Polymerisation plant (Fawley 1961).","181","Oil: Refineries","ECD146","Oil & Petrol","15"
"07066051.wav","Catalytic cracking plant (Fawley 1961).","179","Oil: Refineries","ECD146","Oil & Petrol","14"
"07066050.wav","Principal distillation furnace (Fawley 1961).","180","Oil: Refineries","ECD146","Oil & Petrol","13"
"07066049.wav","Car ramp.","35","Cars: Maintenance","ECD146","Oil & Petrol","12"
"07066048.wav","Grinding wheel.","36","Cars: Maintenance","ECD146","Oil & Petrol","11"
"07066047.wav","High-pressure grease gun.","46","Cars: Maintenance","ECD146","Oil & Petrol","10"
"07066046.wav","Electric impulse wrench on wheel nuts.","43","Cars: Maintenance","ECD146","Oil & Petrol","9"
"07066045.wav","Air drill.","36","Cars: Maintenance","ECD146","Oil & Petrol","8"
"07066044.wav","Compressed air line.","42","Cars: Maintenance","ECD146","Oil & Petrol","7"
"07066043.wav","Oil spray.","20","Cars: Maintenance","ECD146","Oil & Petrol","6"
"07066042.wav","Tyre inflated.","13","Cars: Maintenance","ECD146","Oil & Petrol","5"
"07066041.wav","Tyre let down.","24","Cars: Maintenance","ECD146","Oil & Petrol","4"
"07066040.wav","Petrol pump turned off.","71","Petrol Stations","ECD146","Oil & Petrol","3"
"07066039.wav","Petrol pump runs.","45","Petrol Stations","ECD146","Oil & Petrol","2"
"07066038.wav","Petrol pump turned on.","58","Petrol Stations","ECD146","Oil & Petrol","1"
"07066037.wav","Winnowing machine - starts, corn fed in, corn separated from chaff, machine switched off (recorded at sieve end of machine).","192","Farms: Winnowing Machines","ECD152","Mills & Grain","23"
"07066036.wav","Winnowing machine - starts, corn fed in, corn separated from chaff, machine switched off.","182","Farms: Winnowing Machines","ECD152","Mills & Grain","22"
"07066035.wav","Winnowing machine - starts, runs with no corn, stops.","202","Farms: Winnowing Machines","ECD152","Mills & Grain","21"
"07066034.wav","Corn sucker feeding corn from silo to lorry.","182","Farms: Corn Suckers","ECD152","Mills & Grain","20"
"07066033.wav","Grain stacker blowing corn through funnel from trailer to silo -heard from inside silo.","141","Farms: Grain Stackers","ECD152","Mills & Grain","19"
"07066032.wav","Grain stacker blowing corn through funnel from trailer to silo -heard from outside silo.","141","Farms: Grain Stackers","ECD152","Mills & Grain","18"
"07066031.wav","Drum threshing machine starts, runs, stops - recorded at pitching side.","274","Farms: Threshing Machines","ECD152","Mills & Grain","17"
"07066030.wav","Drum threshing machine starts, runs, stops - recorded in general position.","264","Farms: Threshing Machines","ECD152","Mills & Grain","16"
"07066029.wav","Wheel lowered into water, gathers speed, lifted form water, stops (closer perspective).","157","Water Mills","ECD152","Mills & Grain","15"
"07066028.wav","Wheel lowered into water, gathers speed, lifted from water, stops.","190","Water Mills","ECD152","Mills & Grain","14"
"07066027.wav","Mill starts to grind, runs & stops.","269","Water Mills","ECD152","Mills & Grain","13"
"07066026.wav","Corn loaded into box above mill stones prior to grinding.","39","Water Mills","ECD152","Mills & Grain","12"
"07066025.wav","Interior, mill starts up - grinds grain with breast & tail stones, warning bell at 2'36 (grain running out), mill stops.","213","Bells: Alarm","ECD152","Mills & Grain","11"
"07066024.wav","Interior, on 1st floor - mill grinds grain with tail stones, mill stops.","199","Grinders: Stone Wheels","ECD152","Mills & Grain","10"
"07066023.wav","Interior, on 1st floor - mill starts up, grinds grain with breast stones, mill stops.","226","Grinders: Stone Wheels","ECD152","Mills & Grain","9"
"07066022.wav","Interior, chain hoists bringing bags of grain up to top floor.","77","Chains","ECD152","Mills & Grain","8"
"07066021.wav","Interior, general atmosphere with mill stopping.","177","Windmills","ECD152","Mills & Grain","7"
"07066020.wav","Interior, general atmosphere on top floor with ginding.","177","Grinders","ECD152","Mills & Grain","6"
"07066019.wav","Interior, general atmosphere on top floor with mill operating.","177","Windmills","ECD152","Mills & Grain","5"
"07066018.wav","Interior, general atmosphere on 2nd floor with mill operating.","177","Windmills","ECD152","Mills & Grain","4"
"07066017.wav","Interior, general atmosphere on 1st floor with mill operating.","175","Windmills","ECD152","Mills & Grain","3"
"07066016.wav","Interior. Chain off, release breaks, close shutters, sail out, mill operates, runs, brakes applied, mill stops.","312","Chains","ECD152","Mills & Grain","2"
"07066015.wav","Windmill - exterior, sails rotating in wind.","218","Windmills","ECD152","Mills & Grain","1"
"07066014.wav","Mixed crowd in a busy tea tent - June '1980 (1R7,reprocessed)","301","Tents","ECD083","Interiors - Restaurants","14"
"07066013.wav","Atmosphere in a crowded tea marquee - 1981 (1C23,reprocessed)","284","Tents","ECD083","Interiors - Restaurants","13"
"07066012.wav","Busy atmosphere in a tea room, children & adults (constant background with coins and clatter) - 1978 (1R8,reprocessed)","330","Children: Playing","ECD083","Interiors - Restaurants","12"
"07066011.wav","Snack bar - busy atmosphere, mainly women and children - 1982 (1R10,reprocessed)","299","Children: Playing","ECD083","Interiors - Restaurants","11"
"07066010.wav","Atmosphere in a fairly busy large canteen - 1972 (1R2,reprocessed)","300","Canteens","ECD083","Interiors - Restaurants","10"
"07066009.wav","Atmosphere in large cafeteria in London Zoo, with children's voices - 1974 (1C17,reprocessed)","299","Cafes","ECD083","Interiors - Restaurants","9"
"07066008.wav","Expresso coffee machine, person preparing coffee, close perspective (some background traffic) - Nov '1966 (15E,reprocessed)","134","Cafes","ECD083","Interiors - Restaurants","8"
"07066007.wav","Large busy cafe atmosphere with chatter and clatter of plates, occasional cattle mooing in background 1982 (1R10,reprocessed)","300","Cafes","ECD083","Interiors - Restaurants","7"
"07066006.wav","Quiet transport cafe with occasional speech and chatter - 1981 (1C12,reprocessed)","323","Cafes","ECD083","Interiors - Restaurants","6"
"07066005.wav","Crowd in hamburger fast food store - 1982 (1C27,reprocessed)","299","Restaurants","ECD083","Interiors - Restaurants","5"
"07066004.wav","Buffet at London Airport, quiet with distinct PA announcements from 1'13"" - 1973 (1R3,reprocessed)","300","Airports: London City Airport","ECD083","Interiors - Restaurants","4"
"07066003.wav","Buffet at London Airport, fairly busy - 1973 (1R3,reprocessed)","300","Airports: London City Airport","ECD083","Interiors - Restaurants","3"
"07066002.wav","Quiet atmosphere in a small restaurant (indistinct speech) - 1978 (1R8,reprocessed)","330","Restaurants","ECD083","Interiors - Restaurants","2"
"07066001.wav","Restaurant - mixed busy chatter with distant crockery sounds - 1974 (1R6,reprocessed)","330","Crockery","ECD083","Interiors - Restaurants","1"
"07065177.wav","Large glass crashes - 1-2 crashes (84A) 8"", 3"".","13","Glass: Crashes","ECD097","Crash 1","67"
"07065176.wav","Large glass crash. (5C1)","4","Glass: Crashes","ECD097","Crash 1","66"
"07065175.wav","Medium to large glass crashes - 1-2 crashes (5C1) 2"", 4"".","31","Glass: Crashes","ECD097","Crash 1","65"
"07065174.wav","Medium glass crashes - 1-6 crashes (84G)&(84H) 4"", 3"", 4"", 3"", 3"", 3"".","31","Glass: Crashes","ECD097","Crash 1","64"
"07065173.wav","Medium glass crashes - 1-6 crashes (84A) 3"", 2"", 2"", 3"", 2"", 3"".","24","Glass: Crashes","ECD097","Crash 1","63"
"07065172.wav","Medium glass crashes - 1: two crashes (5C1) 2"" 2-5: Four glass crashes (5C1) 3"", 2"", 3"", 2"".","22","Glass: Crashes","ECD097","Crash 1","62"
"07065171.wav","Small glass crashes - Three small pieces fall (84G)","5","Glass: Crashes","ECD097","Crash 1","61"
"07065170.wav","Small glass crashes - 1-5 piece falls (84H) 3"", 2"", 2"", 2"", 3"".","22","Glass: Crashes","ECD097","Crash 1","60"
"07065169.wav","Small glass crashes - 1-2 piece falls (5C1) 1"", 2"".","6","Glass: Crashes","ECD097","Crash 1","59"
"07065168.wav","Two hits with crash (84G)","6","Glass: Crashes","ECD097","Crash 1","58"
"07065167.wav","Hit with medium crash (84G)","3","Glass: Crashes","ECD097","Crash 1","57"
"07065166.wav","1-2 Glass hit & crash (84G) 2"", 2"". 0'16"" 3 Three taps & crash (84H)","6","Glass: Crashes","ECD097","Crash 1","56"
"07065165.wav","Exterior cascade of glass (84H)","16","Glass: Crashes","ECD097","Crash 1","55"
"07065164.wav","1-2 Cascading glass (5C1) 2"", 3"".","9","Glass: Crashes","ECD097","Crash 1","54"
"07065163.wav","Exterior, sweeping glass (84H)","17","Glass: Crashes","ECD097","Crash 1","53"
"07065162.wav","Exterior, sweeping glass (84H)","59","Glass: Crashes","ECD097","Crash 1","52"
"07065161.wav","Clearing up broken glass (5C2)","35","Glass: Crashes","ECD097","Crash 1","51"
"07065160.wav","Window breaking (5C2)","4","Glass: Crashes","ECD097","Crash 1","50"
"07065159.wav","Glass explosion (5C2) 4"", 4"".","6","Glass: Crashes","ECD097","Crash 1","49"
"07065158.wav","1-2 Neon tube bursts (5C2) 4"", 4"".","11","Glass: Crashes","ECD097","Crash 1","48"
"07065157.wav","1-2 Wine glass dropped (5C2) 3"", 2"".","10","Glass: Crashes","ECD097","Crash 1","47"
"07065156.wav","Wine glass dropped (5C2)","4","Glass: Crashes","ECD097","Crash 1","46"
"07065155.wav","Small bulldozer working (5C3)","58","Bulldozers","ECD097","Crash 1","45"
"07065154.wav","Mechanical digger (5C3)","90","Demolition","ECD097","Crash 1","44"
"07065153.wav","Ball & chain demolition (16L)","182","Demolition","ECD097","Crash 1","43"
"07065152.wav","Manual demolition work (83G)","184","Demolition","ECD097","Crash 1","42"
"07065151.wav","Manual demolition work (83G)","184","Demolition","ECD097","Crash 1","41"
"07065150.wav","Manual demolition work (16F)","189","Demolition","ECD097","Crash 1","40"
"07065149.wav","Manual demolition work (16G)","181","Demolition","ECD097","Crash 1","39"
"07065148.wav","Manual demolition work (16G)","188","Demolition","ECD097","Crash 1","38"
"07065147.wav","Manual demolition work (16G)","157","Demolition","ECD097","Crash 1","37"
"07065146.wav","Manual demolition work (16F)","173","Demolition","ECD097","Crash 1","36"
"07065145.wav","Manual demolition work (16F)","180","Demolition","ECD097","Crash 1","35"
"07065144.wav","Manual demolition work (5C3)","145","Demolition","ECD097","Crash 1","34"
"07065143.wav","Manual demolition work (5C3)","101","Demolition","ECD097","Crash 1","33"
"07065142.wav","Falling stones (16G)","15","Demolition","ECD097","Crash 1","32"
"07065141.wav","Falling stones (16G)","14","Demolition","ECD097","Crash 1","31"
"07065140.wav","Rear of sliding debris (16F)","63","Demolition","ECD097","Crash 1","30"
"07065139.wav","Rear of falling debris (16G)","48","Demolition","ECD097","Crash 1","29"
"07065138.wav","Wall collapsing (16G)","12","Demolition","ECD097","Crash 1","28"
"07065137.wav","Wall collapsing (5C3)","5","Demolition","ECD097","Crash 1","27"
"07065136.wav","Wall collapsing (5C3)","5","Demolition","ECD097","Crash 1","26"
"07065135.wav","Building crash (84F)","12","Demolition","ECD097","Crash 1","25"
"07065134.wav","Warning hooter (5C3)","16","Demolition","ECD097","Crash 1","24"
"07065133.wav","Piece of crockery broken (5C2)","20","Crockery: Crashes","ECD097","Crash 1","23"
"07065132.wav","Six car skids - 1971 (84E)","13","Cars: Skids","ECD097","Crash 1","22"
"07065131.wav","Car skid - 1971 (84E)","4","Cars: Skids","ECD097","Crash 1","21"
"07065130.wav","Mini Special turning 360 degrees - 1971 (84E)","35","Cars: Mini Special","ECD097","Crash 1","20"
